[2021.11.18 10:12:32.003] RELAY_BOX was created
[2021.11.18 10:13:00.895] [RELAY_BOX] opening CAN : COM9
[2021.11.18 10:13:21.217] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 33 
[2021.11.18 10:13:21.423] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 34 
[2021.11.18 10:13:21.616] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 35 
[2021.11.18 10:13:21.824] [Recv] CANID: 0x14180200, 00 00 00 00 00 00 00 01 
[2021.11.18 10:13:21.835] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.18 10:13:21.846] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 36 
[2021.11.18 10:13:22.020] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 37 
[2021.11.18 10:13:22.226] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 38 
[2021.11.18 10:13:22.418] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 39 
[2021.11.18 10:13:22.626] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 3A 
[2021.11.18 10:13:22.823] [Recv] CANID: 0x14180201, 17 22 00 01 01 01 07 D0 
[2021.11.18 10:13:22.834] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.18 10:13:22.845] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 3B 
[2021.11.18 10:13:23.018] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 3C 
[2021.11.18 10:13:23.221] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 3D 
[2021.11.18 10:13:23.417] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 3E 
[2021.11.18 10:13:23.622] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 3F 
[2021.11.18 10:13:23.826] [Recv] CANID: 0x14180202, 45 53 49 30 32 37 30 31 
[2021.11.18 10:13:23.837] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.18 10:13:23.848] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 40 
[2021.11.18 10:13:24.020] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 41 
[2021.11.18 10:13:24.223] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 42 
[2021.11.18 10:13:24.428] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 43 
[2021.11.18 10:13:24.620] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 44 
[2021.11.18 10:13:24.825] [Recv] CANID: 0x14180203, 00 00 00 00 00 00 00 00 
[2021.11.18 10:13:24.835] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.18 10:13:24.847] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 45 
[2021.11.18 10:13:25.021] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 46 
[2021.11.18 10:13:25.227] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 47 
[2021.11.18 10:13:25.422] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 48 
